attempt_count,same_password_count,recent_attempts,country,service,risk_level,attack_type
2,0,0,United Kingdom,admin_panel,Low,Normal
3,0,0,France,admin_panel,Low,Normal
31,9,18,Germany,admin_panel,High,Brute Force
48,3,31,United Kingdom,web_login,High,Bot Attack
41,3,21,United States,admin_panel,High,Bot Attack
2,0,2,Australia,admin_panel,Low,Normal
2,2,1,Russia,admin_panel,Low,Normal
10,19,5,United Kingdom,admin_panel,High,Credential Stuffing
53,5,35,India,web_login,High,Bot Attack
24,8,28,Canada,web_login,High,Brute Force
15,5,29,Germany,admin_panel,High,Brute Force
3,0,0,India,web_login,Low,Normal
27,10,28,Germany,admin_panel,High,Brute Force
33,5,25,Australia,web_login,High,Brute Force
2,2,3,United Kingdom,web_login,Low,Normal
3,1,1,United States,admin_panel,Low,Normal
1,0,1,Brazil,web_login,Low,Normal
1,2,3,Brazil,web_login,Low,Normal
2,2,3,Germany,web_login,Low,Normal
35,5,18,Russia,admin_panel,High,Bot Attack
11,19,3,Russia,admin_panel,High,Credential Stuffing
13,14,2,Canada,admin_panel,High,Credential Stuffing
7,17,4,Brazil,admin_panel,High,Credential Stuffing
1,1,0,France,web_login,Low,Normal
3,0,3,France,admin_panel,Low,Normal
6,12,8,United Kingdom,admin_panel,High,Credential Stuffing
7,15,6,France,web_login,High,Credential Stuffing
58,4,28,Canada,web_login,High,Bot Attack
5,14,6,Australia,web_login,High,Credential Stuffing
3,1,3,United Kingdom,admin_panel,Low,Normal
2,2,3,Canada,admin_panel,Low,Normal
5,18,3,Canada,web_login,High,Credential Stuffing
7,16,7,Canada,admin_panel,High,Credential Stuffing
15,14,2,France,web_login,High,Credential Stuffing
5,8,3,Russia,web_login,High,Credential Stuffing
13,16,7,United States,web_login,High,Credential Stuffing
24,5,30,Canada,admin_panel,High,Brute Force
1,2,0,Australia,admin_panel,Low,Normal
13,12,6,France,web_login,High,Credential Stuffing
39,7,26,Australia,web_login,High,Brute Force
15,6,12,Brazil,admin_panel,High,Brute Force
49,8,30,United States,admin_panel,High,Bot Attack
6,20,6,United Kingdom,web_login,High,Credential Stuffing
12,12,4,China,web_login,High,Credential Stuffing
59,7,22,France,admin_panel,High,Bot Attack
31,8,10,Australia,web_login,High,Brute Force
19,6,14,Russia,web_login,High,Brute Force
19,6,19,China,admin_panel,High,Brute Force
1,2,3,Russia,web_login,Low,Normal
9,9,2,France,admin_panel,High,Credential Stuffing
15,16,4,Canada,admin_panel,High,Credential Stuffing
2,2,0,France,admin_panel,Low,Normal
31,6,16,Russia,web_login,High,Brute Force
36,9,24,Canada,web_login,High,Brute Force
1,2,1,India,admin_panel,Low,Normal
2,2,3,Russia,web_login,Low,Normal
56,7,39,Canada,admin_panel,High,Bot Attack
2,2,2,United States,web_login,Low,Normal
36,7,29,Canada,admin_panel,High,Brute Force
1,2,0,India,admin_panel,Low,Normal
11,10,30,United States,admin_panel,High,Brute Force
11,10,27,United Kingdom,web_login,High,Brute Force
5,13,6,France,web_login,High,Credential Stuffing
37,12,23,France,admin_panel,High,Brute Force
2,1,0,Canada,admin_panel,Low,Normal
30,12,21,Germany,web_login,High,Brute Force
33,6,17,Canada,admin_panel,High,Bot Attack
40,11,15,Germany,admin_panel,High,Brute Force
13,18,5,Brazil,admin_panel,High,Credential Stuffing
2,1,3,India,admin_panel,Low,Normal
25,5,34,United Kingdom,web_login,High,Bot Attack
7,13,3,United Kingdom,web_login,High,Credential Stuffing
40,11,28,India,admin_panel,High,Brute Force
13,16,3,Germany,admin_panel,High,Credential Stuffing
46,7,29,Brazil,admin_panel,High,Bot Attack
12,11,7,Canada,web_login,High,Credential Stuffing
2,2,2,Australia,admin_panel,Low,Normal
20,12,10,Russia,web_login,High,Brute Force
31,12,26,Canada,admin_panel,High,Brute Force
50,7,38,China,admin_panel,High,Bot Attack
24,5,15,Germany,web_login,High,Bot Attack
44,7,22,India,admin_panel,High,Bot Attack
44,8,40,India,admin_panel,High,Bot Attack
20,7,13,Canada,web_login,High,Brute Force
55,5,33,Brazil,web_login,High,Bot Attack
1,0,3,Brazil,web_login,Low,Normal
17,12,11,United Kingdom,web_login,High,Brute Force
38,3,33,India,admin_panel,High,Bot Attack
49,5,24,United States,admin_panel,High,Bot Attack
13,14,5,Canada,admin_panel,High,Credential Stuffing
2,0,3,United Kingdom,web_login,Low,Normal
1,1,1,Russia,admin_panel,Low,Normal
43,7,22,United States,web_login,High,Bot Attack
22,8,38,Russia,web_login,High,Bot Attack
2,1,3,France,web_login,Low,Normal
10,14,4,Canada,admin_panel,High,Credential Stuffing
36,11,25,Australia,web_login,High,Brute Force
47,5,36,France,web_login,High,Bot Attack
14,20,2,Australia,admin_panel,High,Credential Stuffing
11,13,8,Australia,web_login,High,Credential Stuffing
12,15,8,Canada,web_login,High,Credential Stuffing
3,1,3,Canada,admin_panel,Low,Normal
47,8,16,Germany,web_login,High,Bot Attack
23,5,40,Germany,admin_panel,High,Bot Attack
2,1,3,India,web_login,Low,Normal
7,13,2,United States,admin_panel,High,Credential Stuffing
25,12,28,Australia,web_login,High,Brute Force
1,2,3,Russia,web_login,Low,Normal
1,0,0,Germany,web_login,Low,Normal
31,9,28,United States,web_login,High,Brute Force
15,19,8,India,web_login,High,Credential Stuffing
17,12,26,United States,web_login,High,Brute Force
36,11,12,United Kingdom,web_login,High,Brute Force
24,6,19,United States,admin_panel,High,Brute Force
40,4,38,Germany,web_login,High,Bot Attack
53,8,20,United States,admin_panel,High,Bot Attack
30,7,29,Canada,admin_panel,High,Bot Attack
18,9,26,India,admin_panel,High,Brute Force
5,13,8,Canada,web_login,High,Credential Stuffing
25,6,15,India,admin_panel,High,Brute Force
6,8,5,India,web_login,High,Credential Stuffing
15,8,6,Germany,admin_panel,High,Credential Stuffing
2,0,0,India,web_login,Low,Normal
14,16,7,France,admin_panel,High,Credential Stuffing
15,20,5,Germany,web_login,High,Credential Stuffing
40,7,10,United Kingdom,web_login,High,Brute Force
1,1,1,Australia,admin_panel,Low,Normal
5,16,5,Canada,admin_panel,High,Credential Stuffing
3,0,2,China,web_login,Low,Normal
3,2,0,Brazil,admin_panel,Low,Normal
3,0,0,France,web_login,Low,Normal
3,2,0,Australia,web_login,Low,Normal
50,5,26,United States,admin_panel,High,Bot Attack
15,20,5,Australia,admin_panel,High,Credential Stuffing
11,9,2,France,admin_panel,High,Credential Stuffing
25,3,28,Canada,admin_panel,High,Bot Attack
8,13,4,Germany,admin_panel,High,Credential Stuffing
56,3,22,India,admin_panel,High,Bot Attack
3,0,1,France,web_login,Low,Normal
55,7,18,India,web_login,High,Bot Attack
1,1,3,Brazil,admin_panel,Low,Normal
40,8,25,Russia,admin_panel,High,Brute Force
60,3,28,Brazil,web_login,High,Bot Attack
13,6,16,United Kingdom,web_login,High,Brute Force
48,4,16,Germany,admin_panel,High,Bot Attack
3,1,0,India,web_login,Low,Normal
15,18,7,United Kingdom,web_login,High,Credential Stuffing
13,8,5,Canada,admin_panel,High,Credential Stuffing
19,8,13,Australia,web_login,High,Brute Force
27,7,39,Australia,web_login,High,Bot Attack
33,7,19,Brazil,web_login,High,Brute Force
23,8,21,Germany,web_login,High,Brute Force
11,8,7,France,admin_panel,High,Credential Stuffing
10,18,3,Germany,web_login,High,Credential Stuffing
3,2,3,China,admin_panel,Low,Normal
18,9,20,China,web_login,High,Brute Force
14,17,5,Russia,web_login,High,Credential Stuffing
13,12,17,United Kingdom,admin_panel,High,Brute Force
31,11,21,Canada,web_login,High,Brute Force
1,2,2,Canada,web_login,Low,Normal
23,3,38,United States,admin_panel,High,Bot Attack
34,10,14,China,admin_panel,High,Brute Force
1,2,3,Australia,web_login,Low,Normal
12,9,28,Germany,admin_panel,High,Brute Force
31,11,27,Australia,web_login,High,Brute Force
13,10,7,Canada,admin_panel,High,Credential Stuffing
8,16,2,Russia,web_login,High,Credential Stuffing
42,5,16,France,admin_panel,High,Bot Attack
16,7,25,Australia,admin_panel,High,Brute Force
10,20,6,Germany,admin_panel,High,Credential Stuffing
6,8,5,United States,web_login,High,Credential Stuffing
11,15,4,India,admin_panel,High,Credential Stuffing
27,12,16,India,web_login,High,Brute Force
3,0,1,China,web_login,Low,Normal
50,5,34,United Kingdom,admin_panel,High,Bot Attack
25,7,15,China,admin_panel,High,Bot Attack
19,6,18,Brazil,admin_panel,High,Brute Force
7,16,3,Australia,admin_panel,High,Credential Stuffing
7,8,6,France,admin_panel,High,Credential Stuffing
2,2,1,Brazil,admin_panel,Low,Normal
19,7,14,Australia,admin_panel,High,Brute Force
42,8,17,Russia,admin_panel,High,Bot Attack
2,0,2,United Kingdom,admin_panel,Low,Normal
17,9,30,India,web_login,High,Brute Force
3,1,0,United Kingdom,admin_panel,Low,Normal
12,18,8,United States,admin_panel,High,Credential Stuffing
20,10,19,India,admin_panel,High,Brute Force
25,7,12,Germany,web_login,High,Brute Force
36,10,22,France,admin_panel,High,Brute Force
47,6,40,United States,admin_panel,High,Bot Attack
52,4,34,United States,web_login,High,Bot Attack
55,7,26,India,admin_panel,High,Bot Attack
13,5,16,France,web_login,High,Brute Force
1,1,3,United Kingdom,admin_panel,Low,Normal
1,0,2,United Kingdom,web_login,Low,Normal
26,3,31,France,web_login,High,Bot Attack
12,8,3,Brazil,web_login,High,Credential Stuffing
14,15,8,Germany,web_login,High,Credential Stuffing
2,2,1,United Kingdom,web_login,Low,Normal
1,2,3,Germany,web_login,Low,Normal
29,7,28,France,admin_panel,High,Bot Attack
40,7,17,Russia,admin_panel,High,Brute Force
13,19,7,France,admin_panel,High,Credential Stuffing
3,0,2,China,web_login,Low,Normal
31,7,27,Germany,admin_panel,High,Bot Attack
55,3,22,Canada,admin_panel,High,Bot Attack
1,1,2,Germany,admin_panel,Low,Normal
2,1,2,India,admin_panel,Low,Normal
59,7,28,France,admin_panel,High,Bot Attack
15,19,7,China,web_login,High,Credential Stuffing
41,8,15,India,web_login,High,Bot Attack
3,2,0,Brazil,web_login,Low,Normal
59,4,17,Australia,web_login,High,Bot Attack
15,16,2,Germany,admin_panel,High,Credential Stuffing
1,0,2,India,web_login,Low,Normal
38,6,19,France,admin_panel,High,Brute Force
33,6,25,India,admin_panel,High,Brute Force
20,11,13,Australia,admin_panel,High,Brute Force
10,5,12,Germany,web_login,High,Brute Force
41,4,16,Canada,web_login,High,Bot Attack
